id,gu_name,name,rate,address,x_pos,y_pos,main_dishes,price,image_path
279,용산구,섬집,4.4,서울시 용산구 한강로3가 65-450,37.5243963,126.9653629,한정식 / 백반 / 정통 한식,2만원-3만원,../img/food_img/279.png
280,용산구,식캣사인,4.4,서울시 용산구 원효로1가 51-2 2F,37.5400533,126.9677589,카페 / 디저트,만원 미만,../img/food_img/280.png
281,용산구,한길포장마차,4.4,서울시 용산구 이촌동 301-154,37.520662,126.974874,전통 주점 / 포차,만원-2만원,../img/food_img/281.png
282,용산구,잭슨피자,4.4,서울시 용산구 용산동5가 24 파크타워상가 1F B12호,37.5242741,126.9706849,기타 양식,만원-2만원,../img/food_img/282.png
283,용산구,춈,4.4,서울시 용산구 용산동2가 45-12 2F,37.5410461,126.9872407,퓨전 양식,2만원-3만원,../img/food_img/283.png
284,용산구,힐즈앤유로파,4.4,서울시 용산구 용산동2가 44-7 2F,37.5416416,126.9871159,칵테일 / 와인,만원-2만원,../img/food_img/284.png
285,용산구,성월동화,4.4,서울시 용산구 한강로2가 426 102동 103호,37.5354848,126.9715363,기타 일식,만원-2만원,../img/food_img/285.png
286,용산구,비일,4.4,서울시 용산구 청파동2가 71-74 B1,37.5446355,126.9686046,이탈리안,만원-2만원,../img/food_img/286.png
287,용산구,다운타우너,4.3,서울시 용산구 한남동 684-77 1F,37.5348321,127.0008554,브런치 / 버거 / 샌드위치,만원 미만,../img/food_img/287.png
288,용산구,바토스,4.3,서울시 용산구 이태원동 181-8 2F,37.5345913,126.9901711,남미 음식,만원-2만원,../img/food_img/288.png
289,용산구,매니멀스모크하우스,4.3,서울시 용산구 이태원동 455-33 2F,37.5345362,126.9884995,스테이크 / 바베큐,4만원 이상,../img/food_img/289.png
290,용산구,호머피자,4.3,서울시 용산구 한남동 683-108 2F,37.5357941,126.9998142,기타 양식,만원 미만,../img/food_img/290.png
291,용산구,우스블랑,4.3,서울시 용산구 효창동 5-51,37.5414061,126.9623923,카페 / 디저트,만원 미만,../img/food_img/291.png
292,용산구,다츠,4.3,서울시 용산구 한남동 744-5 1F,37.5366617,126.9991093,다국적 아시아 음식,2만원-3만원,../img/food_img/292.png
293,용산구,카사블랑카,4.3,서울시 용산구 용산동2가 44-7,37.5416416,126.9871159,브런치 / 버거 / 샌드위치,만원 미만,../img/food_img/293.png
294,용산구,모수,4.3,서울시 용산구 한남동 738-11,37.5364761,126.9994149,이탈리안,4만원 이상,../img/food_img/294.png
295,용산구,플랜트,4.3,서울시 용산구 이태원동 130-43 2F,37.5331581,126.9942146,기타 양식,만원-2만원,../img/food_img/295.png
